FEN1,Moves,FEN2
1k2r3/p2r1R2/2Q5/1p5p/P1P3p1/8/6PP/7K w - - 2 44,c6d7,1k2r3/p2Q1R2/8/1p5p/P1P3p1/8/6PP/7K b - - 0 44
r7/3r1kp1/8/4B2R/7R/p6P/5PP1/2n2K2 w - - 8 33,h4c4,r7/3r1kp1/8/4B2R/2R5/p6P/5PP1/2n2K2 b - - 9 33
8/R7/3P4/4p1p1/3rPp1k/5P2/5K2/8 b - - 0 46,d4d6,8/R7/3r4/4p1p1/4Pp1k/5P2/5K2/8 w - - 0 47
4r3/2p5/2Rb2k1/p4p2/P7/4B2P/5PP1/6K1 w - - 0 42,e3c5,4r3/2p5/2Rb2k1/p1B2p2/P7/7P/5PP1/6K1 b - - 1 42
6k1/1b3ppp/p1q5/2p3b1/1PQp4/P2P3P/5PP1/1R2rNK1 w - - 0 28,b1e1,6k1/1b3ppp/p1q5/2p3b1/1PQp4/P2P3P/5PP1/4RNK1 b - - 0 28
4rk2/ppp1rp1p/6p1/5Q2/3p4/P2P2R1/KPP5/6R1 b - - 0 25,g6f5,4rk2/ppp1rp1p/8/5p2/3p4/P2P2R1/KPP5/6R1 w - - 0 26
6k1/6p1/R5K1/8/p1r1p3/8/5P1P/8 b - - 11 40,c4d4,6k1/6p1/R5K1/8/p2rp3/8/5P1P/8 w - - 12 41
8/5p2/p3p2p/2P4K/PPk2Pp1/7P/2r5/1R6 w - - 0 41,h3g4,8/5p2/p3p2p/2P4K/PPk2PP1/8/2r5/1R6 b - - 0 41
1r4k1/5p1p/1R3Pp1/1p6/8/7P/6P1/3R2K1 b - - 0 31,b8b6,6k1/5p1p/1r3Pp1/1p6/8/7P/6P1/3R2K1 w - - 0 32
6k1/pp3rp1/6P1/8/8/P2R4/1KP5/8 b - - 0 30,f7c7,6k1/ppr3p1/6P1/8/8/P2R4/1KP5/8 w - - 1 31
2rr2k1/pp4p1/7p/3p1p1P/4p3/1Q2P3/PP1q2P1/K2R4 w - - 0 28,d1d2,2rr2k1/pp4p1/7p/3p1p1P/4p3/1Q2P3/PP1R2P1/K7 b - - 0 28
6k1/3r1ppp/8/1P6/1N6/1r6/p1R1KPPP/B7 b - - 7 32,b3b4,6k1/3r1ppp/8/1P6/1r6/8/p1R1KPPP/B7 w - - 0 33
